Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
MMM;3M Company;reports;Industrials;20;Industrial Conglomerates;20105010;St. Paul, Minnesota;;66740
ABT;Abbott Laboratories;reports;Health Care;35;Health Care Equipment;35101010;North Chicago, Illinois;31.03.1964;1800
ABBV;AbbVie Inc.;reports;Health Care;35;Pharmaceuticals;35202010;North Chicago, Illinois;31.12.2012;1551152
ACN;Accenture plc;reports;Information Technology;45;IT Consulting & Other Services;45102010;Dublin, Ireland;06.07.2011;1467373
ATVI;Activision Blizzard;reports;Information Technology;45;Home Entertainment Software;45103030;Santa Monica, California;31.08.2015;718877
AYI;Acuity Brands Inc;reports;Industrials;20;Electrical Components & Equipment;20104010;Atlanta, Georgia;03.05.2016;1144215
ADBE;Adobe Systems Inc;reports;Information Technology;45;Application Software;45103010;San Jose, California;05.05.1997;796343
AMD;Advanced Micro Devices Inc;reports;Information Technology;45;Semiconductors;45301020;Sunnyvale, California;20.03.2017;2488
AAP;Advance Auto Parts;reports;Consumer Discretionary;25;Automotive Retail;25504050;Roanoke, Virginia;09.07.2015;1158449
AES;AES Corp;reports;Utilities;55;Independent Power Producers & Energy Traders;55105010;Arlington, Virginia;;874761
AET;Aetna Inc;reports;Health Care;35;Managed Health Care;35102030;Hartford, Connecticut;30.06.1976;1122304
AMG;Affiliated Managers Group Inc;reports;Financials;40;Asset Management & Custody Banks;40203010;Beverly, Massachusetts;01.07.2014;1004434
AFL;AFLAC Inc;reports;Financials;40;Life & Health Insurance;40301020;Columbus, Georgia;;4977
A;Agilent Technologies Inc;reports;Health Care;35;Health Care Equipment;35101010;Santa Clara, California;05.06.2000;1090872
APD;Air Products & Chemicals Inc;reports;Materials;15;Industrial Gases;15101040;Allentown, Pennsylvania;30.04.1985;2969
AKAM;Akamai Technologies Inc;reports;Information Technology;45;Internet Software & Services;45101010;Cambridge, Massachusetts;12.07.2007;1086222
ALK;Alaska Air Group Inc;reports;Industrials;20;Airlines;20302010;Seattle, Washington;13.05.2016;766421
ALB;Albemarle Corp;reports;Materials;15;Specialty Chemicals;15101050;Baton Rouge, Louisiana;01.07.2016;915913
ARE;Alexandria Real Estate Equities Inc;reports;Real Estate;60;Office REITs;60101040;Pasadena, California;20.03.2017;1035443
ALXN;Alexion Pharmaceuticals;reports;Health Care;35;Biotechnology;35201010;Cheshire, Connecticut;25.05.2012;899866
ALGN;Align Technology;reports;Health Care;35;Health Care Supplies;35101020;San Jose, California;19.06.2017;1097149
ALLE;Allegion;reports;Industrials;20;Building Products;20102010;Dublin, Ireland;02.12.2013;1579241
AGN;Allergan, Plc;reports;Health Care;35;Pharmaceuticals;35202010;Dublin, Ireland;;884629
ADS;Alliance Data Systems;reports;Information Technology;45;Data Processing & Outsourced Services;45102020;Plano, Texas;23.12.2013;1101215
LNT;Alliant Energy Corp;reports;Utilities;55;Electric Utilities;55101010;Madison, Wisconsin;01.07.2016;352541
ALL;Allstate Corp;reports;Financials;40;Property & Casualty Insurance;40301040;Northfield Township, Illinois;;899051
GOOGL;Alphabet Inc Class A;reports;Information Technology;45;Internet Software & Services;45101010;Mountain View, California;03.04.2014;1652044
GOOG;Alphabet Inc Class C;reports;Information Technology;45;Internet Software & Services;45101010;Mountain View, California;;1652044
MO;Altria Group Inc;reports;Consumer Staples;30;Tobacco;30203010;Richmond, Virginia;;764180
AMZN;Amazon.com Inc;reports;Consumer Discretionary;25;Internet & Direct Marketing Retail;25502020;Seattle, Washington;18.11.2005;1018724
AEE;Ameren Corp;reports;Utilities;55;Multi-Utilities;55103010;St. Louis, Missouri;19.09.1991;1002910
AAL;American Airlines Group;reports;Industrials;20;Airlines;20302010;Fort Worth, Texas;23.03.2015;6201
AEP;American Electric Power;reports;Utilities;55;Electric Utilities;55101010;Columbus, Ohio;;4904
AXP;American Express Co;reports;Financials;40;Consumer Finance;40202010;New York, New York;30.06.1976;4962
AIG;American International Group, Inc.;reports;Financials;40;Property & Casualty Insurance;40301040;New York, New York;31.03.1980;5272
AMT;American Tower Corp A;reports;Real Estate;60;Specialized REITs;60101080;Boston, Massachusetts;19.11.2007;1053507
AWK;American Water Works Company Inc;reports;Utilities;55;Water Utilities;55104010;Voorhees, New Jersey;04.03.2016;1410636
AMP;Ameriprise Financial;reports;Financials;40;Asset Management & Custody Banks;40203010;Minneapolis, Minnesota;03.10.2005;820027
ABC;AmerisourceBergen Corp;reports;Health Care;35;Health Care Distributors;35102010;Chesterbrook, Pennsylvania;30.08.2001;1140859
AME;AMETEK Inc;reports;Industrials;20;Electrical Components & Equipment;20104010;Berwyn, Pennsylvania;23.09.2013;1037868
AMGN;Amgen Inc;reports;Health Care;35;Biotechnology;35201010;Thousand Oaks, California;02.01.1992;318154
APH;Amphenol Corp;reports;Information Technology;45;Electronic Components;45203015;Wallingford, Connecticut;30.09.2008;820313
APC;Anadarko Petroleum Corp;reports;Energy;10;Oil & Gas Exploration & Production;10102020;The Woodlands, Texas;;773910
ADI;Analog Devices, Inc.;reports;Information Technology;45;Semiconductors;45301020;Norwood, Massachusetts;;6281
ANDV;Andeavor;reports;Energy;10;Oil & Gas Refining & Marketing;10102030;San Antonio, Texas;27.09.2007;50104
ANSS;ANSYS;reports;Information Technology;45;Application Software;45103010;Canonsburg, Pennsylvania;19.06.2017;1013462
ANTM;Anthem Inc.;reports;Health Care;35;Managed Health Care;35102030;Indianapolis, Indiana;;1156039
AON;Aon plc;reports;Financials;40;Insurance Brokers;40301010;London, United Kingdom;;315293
AOS;A.O. Smith Corp;reports;Industrials;20;Building Products;20102010;Milwaukee, Wisconsin;26.07.2017;91142
APA;Apache Corporation;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Houston, Texas;;6769
AIV;Apartment Investment & Management;reports;Real Estate;60;Residential REITs;60101060;Denver, Colorado;;922864
AAPL;Apple Inc.;reports;Information Technology;45;Technology Hardware, Storage & Peripherals;45202030;Cupertino, California;30.11.1982;320193
AMAT;Applied Materials Inc;reports;Information Technology;45;Semiconductor Equipment;45301010;Santa Clara, California;;6951
